origin_root,relative_path,path,category,size_bytes,description,schema_preview,aggregate_metrics_only,per_epoch_metrics,per_sample_predictions,saved_model_inference,explainability_analyses
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0007\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0007\exec_0\history.csv,csv,7396,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0008\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0008\exec_0\history.csv,csv,7197,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0009\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0009\exec_0\history.csv,csv,7306,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0010\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0010\exec_0\history.csv,csv,5336,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0011\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0011\exec_0\history.csv,csv,7382,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0012\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0012\exec_0\history.csv,csv,3986,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0013\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0013\exec_0\history.csv,csv,7265,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0014\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0014\exec_0\history.csv,csv,7393,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0015\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0015\exec_0\history.csv,csv,2366,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0016\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0016\exec_0\history.csv,csv,3291,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0017\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0017\exec_0\history.csv,csv,7125,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0018\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0018\exec_0\history.csv,csv,4049,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0019\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0019\exec_0\history.csv,csv,3644,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0020\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0020\exec_0\history.csv,csv,7385,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0021\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0021\exec_0\history.csv,csv,6497,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0022\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0022\exec_0\history.csv,csv,7363,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0023\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0023\exec_0\history.csv,csv,5237,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0024\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0024\exec_0\history.csv,csv,2961,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0025\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0025\exec_0\history.csv,csv,5162,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0026\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0026\exec_0\history.csv,csv,3737,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0027\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0027\exec_0\history.csv,csv,7206,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0028\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0028\exec_0\history.csv,csv,7320,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0029\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0029\exec_0\history.csv,csv,7157,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0030\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0030\exec_0\history.csv,csv,4021,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0031\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0031\exec_0\history.csv,csv,2259,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0032\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0032\exec_0\history.csv,csv,6209,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0033\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0033\exec_0\history.csv,csv,7264,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0034\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0034\exec_0\history.csv,csv,7162,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0035\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0035\exec_0\history.csv,csv,7236,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0036\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0036\exec_0\history.csv,csv,7317,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0037\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0037\exec_0\history.csv,csv,2796,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0038\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0038\exec_0\history.csv,csv,5910,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0039\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0039\exec_0\history.csv,csv,2989,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0040\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0040\exec_0\history.csv,csv,4181,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0041\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0041\exec_0\history.csv,csv,7374,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0042\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0042\exec_0\history.csv,csv,5641,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0043\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0043\exec_0\history.csv,csv,5825,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0044\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0044\exec_0\history.csv,csv,4682,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0045\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0045\exec_0\history.csv,csv,4232,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0046\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0046\exec_0\history.csv,csv,7240,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0047\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0047\exec_0\history.csv,csv,3289,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0048\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0048\exec_0\history.csv,csv,3295,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0049\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0049\exec_0\history.csv,csv,6127,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0050\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0050\exec_0\history.csv,csv,7204,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0051\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0051\exec_0\history.csv,csv,3242,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0052\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0052\exec_0\history.csv,csv,7356,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0053\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0053\exec_0\history.csv,csv,7122,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0054\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0054\exec_0\history.csv,csv,6544,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0055\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0055\exec_0\history.csv,csv,7324,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0056\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0056\exec_0\history.csv,csv,4880,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0057\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0057\exec_0\history.csv,csv,3554,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0058\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0058\exec_0\history.csv,csv,2005,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0059\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0059\exec_0\history.csv,csv,7147,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0060\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0060\exec_0\history.csv,csv,7335,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0061\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0061\exec_0\history.csv,csv,4433,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0062\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0062\exec_0\history.csv,csv,7178,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0063\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0063\exec_0\history.csv,csv,7249,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0064\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0064\exec_0\history.csv,csv,5918,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0065\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0065\exec_0\history.csv,csv,6071,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn_focus_hybrid\kt\trial_0066\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn_focus_hybrid\kt\trial_0066\exec_0\history.csv,csv,2368,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
