model_code_name,model_display_name,seed,manifest_path,leakage_check,checkpoint_path,checkpoint_exists,validation_predictions,validation_predictions_exist,test_predictions,test_predictions_exist,seed_artifact_dir,job_marker,job_marker_complete,metrics_file,metrics_exist,action,command
hybrid_vit,Hybrid ViT,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\hybrid_vit\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_hybrid_vit_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family hybrid_vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
hybrid_vit,Hybrid ViT,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\hybrid_vit\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_hybrid_vit_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family hybrid_vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
hybrid_vit,Hybrid ViT,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\hybrid_vit\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_hybrid_vit_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family hybrid_vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
focus_dnn,Focus-DNN,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\focus_dnn\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family focus_dnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
focus_dnn,Focus-DNN,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\focus_dnn\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family focus_dnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
focus_dnn,Focus-DNN,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\focus_dnn\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family focus_dnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
focus_dnn,Focus-DNN,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\focus_dnn\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family focus_dnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
focus_dnn,Focus-DNN,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\focus_dnn_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\focus_dnn\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_focus_dnn_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family focus_dnn --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
vit,ViT,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\vit\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
vit,ViT,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\vit\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
vit,ViT,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\vit\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
vit,ViT,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\vit\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
vit,ViT,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\vit_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\vit\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_vit_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
classical_ml,Classical ML,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_11_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_11.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
classical_ml,Classical ML,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_22_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_22.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
classical_ml,Classical ML,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_33_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_33.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
classical_ml,Classical ML,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_44_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_44.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
classical_ml,Classical ML,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\classical_ml_seed_55_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_classical_ml_seed_55.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
threshold_baselines,Threshold baselines,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_11_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_11.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
threshold_baselines,Threshold baselines,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_22_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_22.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
threshold_baselines,Threshold baselines,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_33_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_33.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
threshold_baselines,Threshold baselines,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_44_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_44.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
threshold_baselines,Threshold baselines,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\threshold_baselines_seed_55_test.csv,False,,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_threshold_baselines_seed_55.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,unsupported_by_multiseed_eval,
